,username,date,content,user_location,bulan
11,briancukx,2021-07-03 03:26:31+00:00,"@lainalasiwe04 Lah ya masa bodo yang penting vaksin laku keras, proyek vaksin mulus. Panen duit rakyat bancaan geden 😌",Papua Barat,Februari
0,damai_01,2021-07-09 12:23:42+00:00,"94 Persen Vaksin Pfizer Efektif Cegah Infeksi Covid-19 Tanpa Gejala

Yuk Disiplin PPKM

https://t.co/XNBLnjcbeG",Papua Barat,Maret
1,damai_01,2021-07-09 12:23:35+00:00,"Vaksin Novavax Buatan AS Klaim 93% Efektif Cegah Covid-19

Yuk Disiplin PPKM

https://t.co/jjjGvCiZvc",Papua Barat,Maret
2,damai_01,2021-07-09 12:23:27+00:00,"Vaksin Moderna Sangat Efektif Cegah Covid-19 pada Remaja

Yuk Disiplin PPKM

https://t.co/hVz8zUXIf0",Papua Barat,Maret
3,damai_01,2021-07-09 12:23:21+00:00,"Ini Dua Jenis Vaksin yang Diklaim Efektif Cegah Mutasi Virus Corona India

Yuk Disiplin PPKM

https://t.co/sQXx3i2r60",Papua Barat,Maret
4,02Papua,2021-07-09 12:21:07+00:00,"Ini Dua Jenis Vaksin yang Diklaim Efektif Cegah Mutasi Virus Corona India

Yuk Disiplin PPKM

https://t.co/ySTh0zpBWH",Papua Barat,Maret
5,02Papua,2021-07-09 12:20:59+00:00,"Vaksin Moderna Sangat Efektif Cegah Covid-19 pada Remaja

Yuk Disiplin PPKM

https://t.co/MB2GOdJGOp",Papua Barat,Maret
6,02Papua,2021-07-09 12:20:49+00:00,"Vaksin Novavax Buatan AS Klaim 93% Efektif Cegah Covid-19

Yuk Disiplin PPKM

https://t.co/D557ZBm6CP",Papua Barat,Maret
7,02Papua,2021-07-09 12:20:41+00:00,"94 Persen Vaksin Pfizer Efektif Cegah Infeksi Covid-19 Tanpa Gejala

Yuk Disiplin PPKM

https://t.co/HpZ2h2FBoY",Papua Barat,Maret
8,yuslidar76,2021-07-08 08:38:13+00:00,Media Amerika Bongkar Data Negara yang Andalkan Vaksin China tapi Tingkat Infeksi Masih Tinggi,Papua Barat,Maret
9,KarebaNusantara,2021-07-05 06:02:43+00:00,"@Puspen_TNI Alhamdulillah, tadi pagi saya masih dapat vaksin gratis oleh petus TNI-AL yg melakukan vaksinasi di kampung Engjros, Jayapura.
Terimakasih TNI",Papua Barat,Maret
10,atopapua,2021-07-03 08:08:41+00:00,@galihrksiwi @kaesangp Abis di vaksin opo tho kok salah otak,Papua Barat,Maret
0,damai_01,2021-07-09 12:23:42+00:00,"94 Persen Vaksin Pfizer Efektif Cegah Infeksi Covid-19 Tanpa Gejala

Yuk Disiplin PPKM

https://t.co/XNBLnjcbeG",Papua Barat,April
1,damai_01,2021-07-09 12:23:35+00:00,"Vaksin Novavax Buatan AS Klaim 93% Efektif Cegah Covid-19

Yuk Disiplin PPKM

https://t.co/jjjGvCiZvc",Papua Barat,April
2,damai_01,2021-07-09 12:23:27+00:00,"Vaksin Moderna Sangat Efektif Cegah Covid-19 pada Remaja

Yuk Disiplin PPKM

https://t.co/hVz8zUXIf0",Papua Barat,April
3,damai_01,2021-07-09 12:23:21+00:00,"Ini Dua Jenis Vaksin yang Diklaim Efektif Cegah Mutasi Virus Corona India

Yuk Disiplin PPKM

https://t.co/sQXx3i2r60",Papua Barat,April
